col1,col2,col3,col4
HVAC systems,Artificial intelligence ,low,high
Energy management systems,Machine learning ,medium,medium
Lighting systems,Blockchain technology,high,critical
Security systems,Internet of Things ,critical,low
Fire protection systems,Cybersecurity,low,high
Access control systems,Augmented reality and virtual reality ,medium,medium
Elevator systems,Quantum computing,high,critical
Plumbing systems,5G technology,critical,low
Building automation systems,Edge computing,low,high
Maintenance services,Robotics,medium,medium
Janitorial services,Cloud computing,high,critical
Parking facilities,Natural Language Processing ,critical,low
Waste management systems,Autonomous vehicles,low,high
Building codes and regulations,Biotechnology,medium,medium
Sustainability and green building,Renewable energy technology,high,critical
Indoor air quality,Nanotechnology,critical,low
Emergency preparedness systems,Space exploration technology,low,high
Tenant services,Wearable technology,medium,medium
Space planning and design services.,3D printing,high,critical
Charging station installation services.,Human augmentation technology,critical,low
