col1,col2,col3,col4
Fast Charging,Safety Measures,critical,high
Power Conversion,Fault Detection,high,medium
Grid-Scale Energy ,Operational Efficiency,medium,low
Voltage Direct Current,Market Analysis,low,high
Modular Charging ,Onboarding,critical,high
Multiport charging,commissioning,high,medium
Battery Energy  ,configuring,medium,low
Dynamic Load ,Operation,low,medium
Renewable energy,Tickets,critical,high
Photovoltaics,Diagnostics,high,medium
Virtual Simulation,Prediction,medium,low
Data Integration,Self healing,low,critical
Predictive Analytics,Pre-order spare parts,high,high
Remote Control,Assign service colleague,high,medium
Cloud Deployment,Charging scheduling,medium,low
Sensor Fusion,Dispatching,low,critical
Industrial Automation,Smart charging,low,high
Robotics Integration,Opportunity charging,high,medium
Edge Computing,Community charging,medium,low
Condition Monitoring,Enterprise charging,low,critical
