col1,col2,col3,col4
Metaverse,Social Media,critical,high
Virtual reality,E-commerce ,high,medium
Blockchain,Manufacturing,low,low
Artificial intelligence,Medical Research,medium,critical
Augmented reality,Urban Planning,high,high
Edge computing,Smart Cities,high,medium
Blockchain ,Digital Age,low,low
Cryptocurrency,Digitalization,medium,high
Haptic Feedback,Smart Cities and Infrastructure,low,high
Spatial Computing,Healthcare Technology,high,medium
3D Modeling,Transportation and Mobility,low,low
Internet of Things,Energy Management,medium,critical
Non-Fungible Tokens,Industrial Automation,medium,high
5G Technology,Data Analytics,high,medium
Virtual Economies,Biotechnology ,low,low
Digital Marketplaces,Industrial Systems,medium,medium
Metaverse Biometrics,Mobility Solutions,critical,high
Quantum Computing,Space Exploration,high,medium
Machine Learning,Water Management,low,low
Superconducting Qubits,Green Building Solutions,medium,high
